V,1,4,-1,-5,L,0,0
V,2,4,4,0,R,0,0
V,3,4,5,1,R,0,0
V,4,3,2,5,L,1,0
V,5,3,1,4,L,0,0
V,6,3,3,0,R,0,0
V,7,3,4,1,R,0,0
V,8,3,5,2,R,0,0
V,9,2,-3,-5,L,1,0
V,10,2,-2,-2,L,1,0
V,11,2,-1,-3,L,0,0
V,12,2,2,0,R,0,0
V,13,2,3,1,R,0,0
V,14,2,4,2,R,0,0
V,15,2,5,3,R,0,0
V,16,1,-4,-5,L,1,0
V,17,1,-3,-4,L,1,0
V,18,1,-2,-3,L,0,0
V,19,1,-1,-2,L,0,0
V,20,1,0,-1,L,0,1
V,21,1,1,0,R,0,0
V,22,1,2,1,R,0,0
V,23,1,3,2,R,0,0
V,24,1,4,3,R,0,0
V,25,1,5,4,R,0,0
V,26,0,-5,-5,L,0,0
V,27,0,-4,-4,L,0,0
V,28,0,-3,-3,L,0,0
V,29,0,-2,-2,L,0,0
V,30,0,-1,-1,L,0,0
V,31,0,0,0,L,0,0
V,32,0,1,1,R,0,0
V,33,0,2,2,R,0,0
V,34,0,3,3,R,0,0
V.35,0,4,4,R,0,0
V,36,0,5,5,R,0,0
V,37,-1,-5,-4,L,0,0
V,38,-1,-4,-3,L,0,0
V,39,-1,-3,-2,L,0,0
V,40,-1,-2,-1,L,0,0
V,41,-1,-1,0,L,0,0
V,42,-1,0,1,R,0,0
V,43,-1,1,2,R,0,0
V,44,-1,2,3,R,0,0
V,45,-1,3,4,R,1,0
V,46,-1,4,5,R,1,0
V,47,-2,-5,-3,L,0,0
V,48,-2,-4,-2,L,0,0
V,49,-2.-3,-1,L,0,0
V,50,-2,-2,0,L,0,0
V,51,-2,-1,1,L,0,0
V,52,-2,0,2,R,0,1
V,53,-2,1,3,R,0,0
V,54,-2,2,4,R,1,0
V,55,-2,3,5,R,1,0
V,56,-3,-5,-2,L,0,0
V,57,-3,-4,-1,L,0,0
V,58,-3,-3,0,L,0,0
V,59,-3,1,4,R,0,0
V,60,-3,2,5,R,1,0
V,61,-4,-5,-1,L,0,0
V,62,-4,-4,0,L,0,0
V,63,-4,1,5,R,0,0
E,1,4
E,1,5
E,2,3
E,2,6
E,2,7
E,3,7
E,3,8
E,4,5
E,4,9
E,4,10
E,5,10
E,5,11
E,6,7
E,6,12
E,6,13
E,7,8
E,7,13
E,7,14
E,8,14
E,8,15
E,9,10
E,9,16
E,9,17
E,10,11
E,10,17
E,10,18
E,11,18
E,11,19
E,12,13
E,12,21
E,12,22
E,13,14
E,13,22
E,13,23
E,14,15
E,14,23
E,14,24
E,15,24
E,15,25
E,16,17
E,16,26
E,16,27
E,17,18
E,17,27
E,17,28
E,18,19
E,18,28
E,18,29
E,19,20
E,19,29
E,19,30
E,20,21
E,20,30
E,20,31
E,21,22
E,21,31
E,21,32
E,22,23
E,22,32
E,22,33
E,23,24
E,23,33
E,23,34
E,24,25
E,24,34
E,24,35
E,25,35
E,25,36
E,26,27
E,26,37
E,27,28
E,27,37
E,27,38
E,28,29
E,28,38
E,28,39
E,29,30
E,29.39
E,29.40
E,30,31
E,30,40
E,30,41
E,31,32
E,31,41
E,31,42
E,32,33
E,32,42
E,32,43
E,33,34
E,33,43
E,33,44
E,34,35
E,34,44
E,34,45
E,35,36
E,35,45
E,35,46
E,36,46
E,37,38
E,37,47
E,38,39
E,38,47
E,38,48
E,39,40
E,39,48
E,39,49
E,40,41
E,40,49
E,40,50
E,41,42
E,41,50
E,41,51
E,42,43
E,42,51
E,42,52
E,43,44
E,43,52
E,43,53
E,44,45
E,44,53
E,44,54
E,45,46
E,45,54
E,45,55
E,46,55
E,47,48
E,47,56
E,48,49
E,48,56
E,48,57
E,49,50
E,49,57
E,49,58
E,50,51
E,50,58
E,51,52
E,52,53
E,53,54
E,53,59
E,54,55
E,54,59
E,54,60
E,55,60
E,56,57
E,56,61
E,57,58
E,57,61
E,57,62
E,58,62
E,59,60
E,59,63
E,60,63
